Date,AAPL,MSFT,SPY
2020-10-01,113.885,204.841,315.988
2020-10-02,110.219,198.794,312.984
2020-10-05,113.597,202.828,318.545
2020-10-06,110.358,198.522,314.017
2020-10-07,112.208,202.293,319.472
2020-10-08,112.101,203.023,322.303
2020-10-09,114.063,208.075,325.186
2020-10-12,121.294,213.448,330.419
2020-10-13,118.082,214.873,328.258
2020-10-14,118.171,212.917,326.199
2020-10-15,117.707,211.776,325.808
2020-10-16,116.061,211.776,325.607
2020-10-19,113.086,206.522,320.659
2020-10-20,114.584,206.94,321.933
2020-10-21,113.964,207.087,321.329
2020-10-22,112.859,207.176,323.098
2020-10-23,112.168,208.466,324.181
2020-10-26,112.178,202.536,318.198
2020-10-27,113.696,205.584,317.096
2020-10-28,108.425,195.415,306.263
2020-10-29,112.446,197.37,309.384
2020-10-30,106.149,195.211,306.149
2020-11-02,106.059,195.075,309.586
2020-11-03,107.695,199.032,315.042
2020-11-04,112.081,208.61,322.074
2020-11-05,116.061,215.282,328.363
2020-11-06,115.933,215.701,328.287
2020-11-09,113.616,210.544,332.43
2020-11-10,113.274,203.445,331.935
2020-11-11,116.722,208.767,334.392
2020-11-12,116.449,207.714,331.147
2020-11-13,116.497,208.727,335.743
2020-11-16,117.512,209.433,339.916
2020-11-17,116.623,206.757,338.105
2020-11-18,115.283,204.034,334.019
2020-11-19,115.884,205.33,335.447
2020-11-20,114.614,203.376,333.15
2020-11-23,111.205,203.102,335.14
2020-11-24,112.486,206.717,340.539
2020-11-25,113.333,206.727,340.001
2020-11-27,113.885,208.055,340.969
2020-11-30,116.29,206.921,339.437
2020-12-01,119.866,208.993,343.16
2020-12-02,120.222,208.182,343.888
2020-12-03,120.084,207.087,343.792
2020-12-04,119.413,207.205,346.759
2020-12-07,120.882,207.136,346.031
2020-12-08,121.483,208.797,347.055
2020-12-09,118.949,204.732,343.945
2020-12-10,120.378,203.504,343.83
2020-12-11,119.571,206.131,343.427
2020-12-14,118.949,207.048,341.897
2020-12-15,124.901,206.98,346.512
2020-12-16,124.834,211.962,347.055
2020-12-17,125.711,212.097,348.988
2020-12-18,123.729,211.286,347.6
2020-12-21,125.248,215.164,346.356
2020-12-22,128.815,216.463,345.763
2020-12-23,127.908,213.641,346.08
2020-12-24,128.904,215.322,347.439
2020-12-28,133.525,217.441,350.414
2020-12-29,131.732,216.65,349.754
2020-12-30,130.618,214.286,350.243
2020-12-31,129.613,215.0,352.023
2021-01-04,126.41,210.429,347.236
2021-01-05,127.957,210.623,349.63
2021-01-06,123.67,205.161,351.715
2021-01-07,127.869,210.996,356.943
2021-01-08,128.982,212.294,358.97
2021-01-11,125.987,210.232,356.561
2021-01-12,125.809,207.762,356.635
2021-01-13,127.839,209.119,357.592
2021-01-14,125.919,205.896,356.34
2021-01-15,124.182,205.545,353.745
2021-01-19,124.852,209.216,356.522
2021-01-20,128.962,216.835,361.441
2021-01-21,133.704,217.451,361.775
2021-01-22,135.831,218.407,360.502
2021-01-25,139.606,221.855,361.92
2021-01-26,139.843,224.58,361.354
2021-01-27,138.757,225.116,352.531
2021-01-28,133.92,230.959,355.565
2021-01-29,128.894,224.23,348.434
2021-02-01,131.023,231.653,354.233
2021-02-02,131.851,231.516,359.249
2021-02-03,130.824,234.887,359.536
2021-02-04,134.204,233.92,363.624
2021-02-05,133.792,234.104,365.046
2021-02-08,133.938,234.369,367.681
2021-02-09,133.053,235.636,367.433
2021-02-10,132.441,234.71,367.267
2021-02-11,132.186,236.332,367.872
2021-02-12,132.421,236.821,369.69
2021-02-16,130.293,235.569,369.365
2021-02-17,127.987,236.594,369.453
2021-02-18,126.891,236.203,367.881
2021-02-19,127.051,233.46,367.223
2021-02-22,123.265,227.197,364.396
2021-02-23,123.128,226.008,364.847
2021-02-24,122.625,227.236,368.878
2021-02-25,118.348,221.845,359.985
2021-02-26,118.616,225.136,358.13
2021-03-01,125.001,229.551,366.809
2021-03-02,122.399,226.575,363.948
2021-03-03,119.404,220.478,359.125
2021-03-04,117.522,219.666,354.683
2021-03-05,118.772,224.386,361.202
2021-03-08,113.825,220.312,359.414
2021-03-09,118.448,226.486,364.533
2021-03-10,117.383,225.176,366.809
2021-03-11,119.307,229.738,370.524
2021-03-12,118.388,228.41,371.031
2021-03-15,121.285,227.492,373.233
2021-03-16,122.844,230.305,372.774
2021-03-17,122.045,229.649,374.045
2021-03-18,117.905,223.535,368.599
2021-03-19,117.383,223.174,367.92
2021-03-22,120.704,228.642,370.859
